"ID","ISDELETED","NAME","SETUPOWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","TEXT__C","DESCRIPTION__C","NUMBER__C","BOOLEAN__C"
"a1DM0000003j9QhMAI","false","BIFFErrorContact","00DM0000001Lqn8MAC","2015-12-08T19:49:02.000Z","005M0000006x8ebIAA","2015-12-08T19:49:02.000Z","005M0000006x8ebIAA","2015-12-08T19:49:02.000Z","asirleaf@summa-tech.com","An email for someone who would be alerted when a system error occurs","","true"
"a1DM0000003j9PCMAY","false","BIFFProviderGroup Store","00DM0000001Lqn8MAC","2015-12-08T15:37:38.000Z","005M0000006x8ebIAA","2015-12-08T15:42:12.000Z","005M0000006x8ebIAA","2015-12-08T15:42:12.000Z","S\d\d\d\dSMG","Regular expression for capturing the Store Provider group name","","true"
"a1DM0000003j9FsMAI","false","BIFFNotify storemanager","00DM0000001Lqn8MAC","2015-12-07T16:45:33.000Z","005M0000006x8ebIAA","2015-12-07T19:14:29.000Z","005M0000006x8ebIAA","2015-12-07T19:14:29.000Z","storemanager","","","true"
"a1DM0000003j9GRMAY","false","BIFFNotify preparedfoodsteamleader","00DM0000001Lqn8MAC","2015-12-07T16:59:02.000Z","005M0000006x8ebIAA","2015-12-07T19:15:36.000Z","005M0000006x8ebIAA","2015-12-07T19:15:36.000Z","preparedfoodsteamleader","","","true"
"a1DM0000003j9GqMAI","false","BIFFNotify meatteamleader","00DM0000001Lqn8MAC","2015-12-07T16:59:51.000Z","005M0000006x8ebIAA","2015-12-07T19:16:23.000Z","005M0000006x8ebIAA","2015-12-07T19:16:23.000Z","meatteamleader","","","true"
"a1DM0000003j9HZMAY","false","BIFFNotify getgostoreleader","00DM0000001Lqn8MAC","2015-12-07T17:07:07.000Z","005M0000006x8ebIAA","2015-12-07T19:18:09.000Z","005M0000006x8ebIAA","2015-12-07T19:18:09.000Z","getgostoreleader","","","true"
"a1DM0000003j9HeMAI","false","BIFFNotify getgocrewlead","00DM0000001Lqn8MAC","2015-12-07T17:07:44.000Z","005M0000006x8ebIAA","2015-12-07T19:18:40.000Z","005M0000006x8ebIAA","2015-12-07T19:18:40.000Z","getgocrewlead","","","true"
"a1DM0000003j9ISMAY","false","BIFFNotify bakeryteamleader","00DM0000001Lqn8MAC","2015-12-07T17:10:31.000Z","005M0000006x8ebIAA","2015-12-07T19:20:20.000Z","005M0000006x8ebIAA","2015-12-07T19:20:20.000Z","bakeryteamleader","","","true"
"a1DM0000003jApKMAU","false","BIFFIntegrationPwd","00DM0000001Lqn8MAC","2015-12-15T14:29:17.000Z","005M0000006x8ebIAA","2015-12-18T19:38:49.000Z","005M0000006x8ebIAA","2015-12-18T19:38:49.000Z","clouD246","Password","","true"
"a1DM0000003jApFMAU","false","BIFFIntegrationUser","00DM0000001Lqn8MAC","2015-12-15T14:28:21.000Z","005M0000006x8ebIAA","2016-01-06T18:01:29.000Z","005M0000006x8ebIAA","2016-01-06T18:01:29.000Z","servicecloud","Username","","true"
"a1DM0000003j9IcMAI","false","BIFFNotify asststoreleader","00DM0000001Lqn8MAC","2015-12-07T17:10:51.000Z","005M0000006x8ebIAA","2015-12-07T19:20:36.000Z","005M0000006x8ebIAA","2015-12-07T19:20:36.000Z","asststoreleader","","","true"
"a1DM0000003j9HtMAI","false","BIFFNotify frontendteamleader","00DM0000001Lqn8MAC","2015-12-07T17:09:09.000Z","005M0000006x8ebIAA","2015-12-07T19:19:15.000Z","005M0000006x8ebIAA","2015-12-07T19:19:15.000Z","frontendteamleader","","","true"
"a1DM0000003j9HPMAY","false","BIFFNotify groceryasstteamleader","00DM0000001Lqn8MAC","2015-12-07T17:06:41.000Z","005M0000006x8ebIAA","2015-12-07T19:17:45.000Z","005M0000006x8ebIAA","2015-12-07T19:17:45.000Z","groceryasstteamleader","","","true"
"a1DM0000003j9HFMAY","false","BIFFNotify groupleader","00DM0000001Lqn8MAC","2015-12-07T17:06:09.000Z","005M0000006x8ebIAA","2015-12-07T19:16:43.000Z","005M0000006x8ebIAA","2015-12-07T19:16:43.000Z","groupleader","","","true"
"a1DM0000003j9GMMAY","false","BIFFNotify prepfoodsteamleader","00DM0000001Lqn8MAC","2015-12-07T16:58:51.000Z","005M0000006x8ebIAA","2015-12-07T19:15:27.000Z","005M0000006x8ebIAA","2015-12-07T19:15:27.000Z","prepfoodsteamleader","","","true"
"a1DM0000003j9IDMAY","false","BIFFNotify eaglesnestteamleader","00DM0000001Lqn8MAC","2015-12-07T17:09:54.000Z","005M0000006x8ebIAA","2015-12-07T19:19:57.000Z","005M0000006x8ebIAA","2015-12-07T19:19:57.000Z","eaglesnestteamleader","","","true"
"a1DM0000003jHJnMAM","false","BIFFDateFormat","00DM0000001Lqn8MAC","2016-01-20T19:51:29.000Z","005M0000006x8ebIAA","2016-01-20T19:51:55.000Z","005M0000006x8ebIAA","2016-01-20T19:51:55.000Z","MM/dd/yyyy HH:mm:ss","Required data format as per Reflexis requirements","","true"
"a1DM0000003j9HKMAY","false","BIFFNotify groceryteamleader","00DM0000001Lqn8MAC","2015-12-07T17:06:19.000Z","005M0000006x8ebIAA","2015-12-07T19:17:32.000Z","005M0000006x8ebIAA","2015-12-07T19:17:32.000Z","groceryteamleader","","","true"
"a1DM0000003j9HUMAY","false","BIFFNotify getgoteamleader","00DM0000001Lqn8MAC","2015-12-07T17:06:55.000Z","005M0000006x8ebIAA","2015-12-07T19:17:55.000Z","005M0000006x8ebIAA","2015-12-07T19:17:55.000Z","getgoteamleader","","","true"
"a1DM0000003j9HjMAI","false","BIFFNotify getgoasstteamleader","00DM0000001Lqn8MAC","2015-12-07T17:08:34.000Z","005M0000006x8ebIAA","2015-12-07T19:18:50.000Z","005M0000006x8ebIAA","2015-12-07T19:18:50.000Z","getgoasstteamleader","","","true"
"a1DM0000003j9INMAY","false","BIFFNotify cheeseteamleader","00DM0000001Lqn8MAC","2015-12-07T17:10:20.000Z","005M0000006x8ebIAA","2015-12-07T19:20:11.000Z","005M0000006x8ebIAA","2015-12-07T19:20:11.000Z","cheeseteamleader","","","true"
"a1DM0000003jBjbMAE","false","BIFFRetriesInterval","00DM0000001Lqn8MAC","2015-12-21T15:52:51.000Z","005M0000006x8ebIAA","2015-12-21T15:52:51.000Z","005M0000006x8ebIAA","2015-12-21T15:52:51.000Z","","Number of minutes between each retry","1.0","false"
"a1DM0000003j9HyMAI","false","BIFFNotify frontendasstteamleader","00DM0000001Lqn8MAC","2015-12-07T17:09:20.000Z","005M0000006x8ebIAA","2015-12-07T19:19:29.000Z","005M0000006x8ebIAA","2015-12-07T19:19:29.000Z","frontendasstteamleader","","","true"
"a1DM0000003j9I8MAI","false","BIFFNotify floralteamleader","00DM0000001Lqn8MAC","2015-12-07T17:09:44.000Z","005M0000006x8ebIAA","2015-12-07T19:19:50.000Z","005M0000006x8ebIAA","2015-12-07T19:19:50.000Z","floralteamleader","","","true"
"a1DM0000003j9IhMAI","false","BIFFNotify assistantstoreleader","00DM0000001Lqn8MAC","2015-12-07T17:11:01.000Z","005M0000006x8ebIAA","2015-12-07T19:22:14.000Z","005M0000006x8ebIAA","2015-12-07T19:22:14.000Z","assistantstoreleader","","","true"
"a1DM00000028XwUMAU","false","ServiceNowUser","00DM0000001Lqn8MAC","2015-02-12T16:25:58.000Z","005E0000000XWeqIAG","2015-03-30T18:03:50.000Z","005E0000000XtyZIAS","2015-03-30T18:03:50.000Z","svc-servicecloud","User name for ServiceNow integration","","false"
"a1DM00000029NEdMAM","false","ServiceNowEndpoint","00DM0000001Lqn8MAC","2015-03-31T03:03:29.000Z","005E0000000XWeqIAG","2015-07-02T19:04:59.000Z","005E0000000XuRWIA0","2015-07-02T19:04:59.000Z","https://gianteagletest.service-now.com/u_service_cloud.do?SOAP","Service Now Integration Endpoint","","false"
"a1DM000000297vVMAQ","false","ServiceNowRetryMinutes","00DM0000001Lqn8MAC","2015-03-17T00:37:46.000Z","005E0000000XWeqIAG","2015-03-17T00:37:46.000Z","005E0000000XWeqIAG","2015-03-17T00:37:46.000Z","","The first retry delay time when we get error","1.0","false"
"a1DM000000297vaMAA","false","ServiceNowRetryNumber","00DM0000001Lqn8MAC","2015-03-17T00:38:24.000Z","005E0000000XWeqIAG","2015-03-17T00:40:01.000Z","005E0000000XWeqIAG","2015-03-17T00:40:01.000Z","","Number of retries before giving up","3.0","false"
"a1DM00000028XwZMAU","false","ServiceNowPwd","00DM0000001Lqn8MAC","2015-02-12T16:26:33.000Z","005E0000000XWeqIAG","2015-03-17T00:39:31.000Z","005E0000000XWeqIAG","2015-03-17T00:39:31.000Z","J[!jYRH@Zg7;}@'","Password for ServiceNow integration","","false"
